Name,class,prediction
neg\00001147.png,0,0
neg\00001148.png,0,0
neg\00001149.png,0,0
neg\00001150.png,0,0
neg\00001153.png,0,0
neg\00001154.png,0,0
neg\00001155.png,0,0
neg\00001156.png,0,0
neg\00001157.png,0,0
neg\00001158.png,0,0
neg\00001159.png,0,0
neg\00001160.png,0,0
neg\00001161.png,0,0
neg\00001162.png,0,0
neg\00001163.png,0,0
neg\00001165.png,0,0
neg\00001166.png,0,0
neg\00001167.png,0,0
neg\00001168.png,0,0
neg\00001169.png,0,0
neg\00001170.png,0,0
neg\00001171.png,0,0
neg\00001172.png,0,0
neg\00001173.png,0,0
neg\00001176.png,0,0
neg\00001177.png,0,0
neg\00001178.png,0,0
neg\00001179.png,0,0
neg\00001180.png,0,0
neg\00001181.png,0,0
neg\00001192.png,0,0
neg\00001193.png,0,0
neg\00001194.png,0,0
neg\00001202.png,0,0
neg\00001203.png,0,0
neg\00001204.png,0,0
neg\00001205.png,0,0
neg\00001207.png,0,0
neg\00001208.png,0,0
neg\00001209.png,0,0
neg\00001210.png,0,0
neg\00001211.png,0,0
neg\00001212.png,0,0
neg\00001214.png,0,0
neg\00001215.png,0,0
neg\00001216.png,0,0
neg\00001217.png,0,0
neg\00001218.png,0,0
neg\00001219.png,0,0
neg\00001220.png,0,0
neg\00001221.png,0,0
neg\00001222.png,0,0
neg\00001223.png,0,0
neg\00001224.png,0,0
neg\00001225.png,0,0
neg\00001226.png,0,0
neg\00001227.png,0,0
neg\00001228.png,0,0
neg\00001231.png,0,0
neg\00001232.png,0,0
neg\00001233.png,0,0
neg\00001234.png,0,0
neg\00001236.png,0,0
neg\00001240.png,0,0
neg\00001241.png,0,0
neg\00001242.png,0,0
neg\00001243.png,0,0
neg\00001247.png,0,0
neg\00001249.png,0,0
neg\00001250.png,0,0
neg\00001251.png,0,0
neg\00001253.png,0,0
neg\00001254.png,0,0
neg\00001255.png,0,0
neg\00001256.png,0,0
neg\00001257.png,0,0
neg\00001258.png,0,0
neg\00001259.png,0,0
neg\00001260.png,0,0
neg\00001262.png,0,0
neg\00001263.png,0,0
neg\00001265.png,0,0
neg\00001269.png,0,0
neg\00001270.png,0,0
neg\00001271.png,0,0
neg\00001272.png,0,0
neg\00001273.png,0,0
neg\00001279.png,0,0
neg\00001280.png,0,0
neg\00001292.png,0,0
neg\00001293.png,0,0
neg\00001294.png,0,0
neg\00001301.png,0,0
neg\00001304.png,0,0
neg\00001305.png,0,0
neg\00001307.png,0,0
neg\00001308.png,0,0
neg\00001309.png,0,0
neg\00001319.png,0,0
neg\00001324.png,0,0
neg\00001325.png,0,0
neg\00001326.png,0,0
neg\00001327.png,0,0
neg\00001328.png,0,0
neg\00001329.png,0,0
neg\00001330.png,0,0
neg\00001331.png,0,0
neg\00001332.png,0,0
neg\00001335.png,0,0
neg\00001337.png,0,0
neg\00001338.png,0,0
neg\00001342.png,0,0
neg\00001343.png,0,0
neg\00001344.png,0,0
neg\00001348.png,0,0
neg\00001349.png,0,0
neg\00001350.png,0,0
neg\00001352.png,0,0
neg\00001353.png,0,0
neg\00001354.png,0,0
neg\00001355.png,0,0
neg\00001356.png,0,0
neg\00001358.png,0,0
neg\00001361.png,0,0
neg\00001362.png,0,0
neg\00001369.png,0,0
neg\00001370.png,0,0
neg\00001371.png,0,0
neg\00001372.png,0,0
neg\00001373.png,0,0
neg\00001374.png,0,0
neg\00001375.png,0,0
neg\00001376.png,0,0
neg\00001377.png,0,0
neg\00001378.png,0,0
neg\00001379.png,0,0
neg\00001380.png,0,0
neg\00001381.png,0,0
neg\00001382.png,0,0
neg\00001383.png,0,0
neg\00001385.png,0,0
neg\00001386.png,0,0
neg\00001387.png,0,0
neg\00001388.png,0,0
neg\00001389.png,0,0
neg\00001390.png,0,0
neg\00001391.png,0,0
neg\00001392.png,0,0
neg\00001393.png,0,0
neg\00001394.png,0,0
neg\00001395.png,0,0
neg\00001396.png,0,0
neg\00001401.png,0,0
neg\00001402.png,0,0
neg\00001405.png,0,0
neg\00001406.png,0,0
neg\00001407.png,0,0
neg\00001408.png,0,0
neg\00001409.png,0,0
neg\00001410.png,0,0
neg\00001411.png,0,0
neg\00001412.png,0,0
neg\00001413.png,0,0
neg\00001414.png,0,0
neg\00001415.png,0,0
neg\00001416.png,0,0
neg\00001417.png,0,0
neg\00001418.png,0,0
neg\00001419.png,0,0
neg\00001420.png,0,0
neg\00001421.png,0,0
neg\00001422.png,0,0
neg\00001425.png,0,0
neg\00001427.png,0,0
neg\00001431.png,0,0
neg\00001432.png,0,0
neg\00001433.png,0,0
neg\00001434.png,0,0
neg\00001435.png,0,0
neg\00001436.png,0,0
neg\00001437.png,0,0
neg\00001438.png,0,0
neg\00001439.png,0,0
neg\00001440.png,0,0
neg\00001441.png,0,0
neg\00001442.png,0,0
neg\00001443.png,0,0
neg\00001444.png,0,0
neg\00001445.png,0,0
neg\00001447.png,0,0
neg\00001448.png,0,0
neg\00001449.png,0,0
neg\00001450.png,0,0
neg\00001452.png,0,0
neg\00001453.png,0,0
neg\00001454.png,0,0
neg\00001455.png,0,0
neg\00001456.png,0,0
neg\00001457.png,0,0
neg\00001459.png,0,0
neg\01-03f.jpg,0,0
neg\D2004-01-03_17h26m13s.jpg,0,0
neg\D2004-01-04_17h01m28s.jpg,0,0
neg\D2004-01-24_16h17m48s.jpg,0,0
neg\D2004-03-12_11h12m05s.jpg,0,0
neg\D2004-03-12_11h55m08s.jpg,0,0
neg\D2004-03-12_14h48m42s.jpg,0,0
